차량명,연식,주행거리,가격
현대 더 뉴 싼타페 가솔린 2.5 2WD 캘리그래피,23년 8월식,"41,225km","2,960만원"
기아 셀토스 가솔린 터보 1.6 2WD 트렌디,21년 3월식(22년형),"65,728km","1,770만원"
BMW X6 (G06) 가솔린 4WD xDrive40i M 스포츠,20년 12월식(21년형),"96,976km","5,700만원"
기아 더 뉴 니로 프레스티지,20년 11월식(21년형),"93,255km","1,750만원"
현대 넥쏘 프리미엄,20년 4월식,"76,216km","1,730만원"
기아 K8 하이브리드 노블레스,21년 9월식(22년형),"76,529km","2,730만원"
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
기아 K5 3세대 가솔린 터보 1.6 노블레스,21년 10월식(22년형),"65,667km","2,080만원"
기아 모닝 어반 가솔린 1.0 프레스티지,22년 5월식,"28,888km","1,230만원"
제네시스 G80 2.2D 럭셔리,18년 12월식(19년형),"124,139km","1,820만원"
제네시스 GV80 쿠페 가솔린 2.5 AWD 기본형,24년 1월식,"6,655km","7,790만원"
현대 코나 하이브리드 (SX2) 가솔린 1.6 하이브리드 H-Pick,26년 1월식,848km,"2,350만원"
기아 모하비 더 마스터 디젤 3.0 4WD 마스터즈 7인승,22년 5월식,"58,622km","3,850만원"
현대 쏘나타 DN8 2.0 LPi 인스퍼레이션,20년 6월식(21년형),"93,324km","1,980만원"
제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,20년 12월식(21년형),"78,479km","3,730만원"
BMW X7 (G07) 디젤 4WD xDrive 40d M 스포츠 6인승,22년 3월식,"78,520km","8,300만원"
기아 올 뉴 K3 럭셔리,18년 4월식(19년형),"89,178km","1,090만원"
현대 아반떼 (CN7) 가솔린 1.6 인스퍼레이션,21년 1월식,"53,632km","1,710만원"
기아 카니발 (4세대) 디젤 2.2 (9인승) 노블레스,21년 5월식,"42,622km","2,790만원"
기아 카니발 (4세대) 가솔린 3.5 (9인승) 프레스티지,21년 1월식,"46,666km","2,190만원"
현대 싼타페 TM 디젤 2.0 4WD 프레스티지,19년 1월식,"99,513km","2,020만원"
제네시스 GV70 가솔린 터보 3.5 스포츠 AWD,23년 5월식,"56,153km","4,680만원"
