차량명,연식,주행거리,가격
현대 더 뉴 아반떼 1.6 GDi 모던 기본형,14년 6월식,"73,454km",730만원
현대 아반떼 AD 1.6 GDI 모던 스페셜,15년 11월식(16년형),"116,416km",950만원
현대 LF 쏘나타 하이브리드 2.0 HEV 스마트,15년 4월식,"32,032km","1,160만원"
KG모빌리티(쌍용) 티볼리 아머 기어 에디션 2WD,17년 10월식(18년형),"72,397km","1,030만원"
기아 더 뉴 모닝 밴 고급형,16년 10월식,"93,681km",530만원
기아 올 뉴 K3 스탠다드,21년 3월식,"41,874km","1,150만원"
현대 아반떼 MD M16 GDI 프리미엄,13년 5월식(14년형),"117,343km",710만원
제네시스 G90 (RS4) 가솔린 2WD 3.5 터보,22년 11월식(23년형),"41,848km","6,650만원"
현대 팰리세이드 가솔린 3.8 2WD 프레스티지 (7인승),22년 1월식,"34,175km","2,980만원"
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
기아 올 뉴 K7 3.3 GDI 리미티드 플러스,17년 8월식,"105,719km","1,210만원"
현대 넥쏘 프리미엄,21년 5월식,"131,027km","1,600만원"
현대 코나 1.6 터보 2WD 모던,17년 11월식(18년형),"73,416km","1,290만원"
쉐보레(GM대우) 더 넥스트 스파크 패션,16년 9월식(17년형),"98,450km",520만원
현대 제네시스 DH G330 프리미엄 AWD,14년 4월식(15년형),"132,010km","1,090만원"
벤츠 CLA-클래스 C117 CLA220 AMG Line,18년 11월식(19년형),"74,235km","1,550만원"
기아 올 뉴 모닝 (JA) 럭셔리,17년 12월식,"43,395km",790만원
현대 더 뉴 그랜저 가솔린 2.5 익스클루시브,21년 1월식,"95,126km","2,390만원"
기아 올 뉴 쏘렌토 디젤 2.0 2WD 노블레스,17년 1월식,"121,531km","1,380만원"
기아 더 뉴 모닝 럭셔리,16년 11월식,"60,980km",720만원
현대 아반떼 (CN7) 가솔린 1.6 인스퍼레이션,20년 7월식(21년형),"32,327km","1,890만원"
쉐보레(GM대우) 트레일블레이저 1.3 가솔린 터보 2WD RS,22년 7월식(23년형),"69,280km","1,870만원"
기아 더 뉴 쏘렌토 4세대 가솔린 터보 2.5 2WD 노블레스,25년 2월식,"40,780km","3,580만원"
기아 쏘렌토 4세대 가솔린 2.5 2WD 시그니처 그래비티,21년 2월식,"83,870km","2,750만원"
제네시스 GV80 가솔린 2.5 2WD (5인승),21년 6월식,"56,032km","4,490만원"
현대 베뉴 1.6 모던,20년 7월식,"30,232km","1,680만원"
현대 스타리아 디젤 2.2 라운지 4WD 9인승 인스퍼레이션,22년 1월식,"62,795km","2,870만원"
렉서스 UX250h 2.0 2WD,19년 4월식,"153,455km","2,230만원"
현대 싼타페 DM 디젤(e-VGT) 2.0 2WD 프리미엄,15년 4월식,"107,256km","1,100만원"
현대 더 뉴 벨로스터 1.6 터보 디 스펙,15년 12월식(16년형),"86,812km",780만원
기아 더 뉴 모닝 럭셔리,15년 4월식(16년형),"32,161km",690만원
기아 더 뉴 레이 밴 (2인승) 프레스티지,22년 1월식,"36,832km","1,000만원"
현대 캐스퍼 가솔린 1.0 인스퍼레이션,22년 1월식,"14,545km","1,660만원"
기아 올 뉴 쏘렌토 디젤 2.0 2WD 프레스티지,17년 3월식,"81,438km","1,490만원"
기아 더 뉴 모닝 럭셔리,16년 1월식,"70,839km",630만원
기아 올 뉴 K3 스탠다드,20년 11월식(21년형),"33,956km","1,430만원"
기아 더 뉴 기아 레이 시그니처,23년 5월식,"29,824km","1,620만원"
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
기아 더 뉴 쏘렌토 디젤 2.0 4WD 노블레스,19년 9월식(20년형),"35,905km","2,070만원"
벤츠 GLC-클래스 X253 GLC300 4MATIC 프리미엄 쿠페,21년 8월식,"35,094km","4,710만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i 투어링,23년 4월식,"34,680km","3,820만원"
기아 올 뉴 카렌스 2.0 LPi 노블레스,16년 1월식,"59,381km","1,290만원"
현대 팰리세이드 가솔린 3.8 2WD 캘리그래피 (7인승),21년 5월식(22년형),"69,806km","2,330만원"
현대 팰리세이드 디젤 2.2 2WD VIP (7인승),21년 11월식(22년형),"32,418km","3,690만원"
현대 더 뉴 그랜저 하이브리드 가솔린 2.4 하이브리드 캘리그래피,20년 2월식,"160,400km","2,180만원"
현대 베뉴 1.6 플럭스,19년 8월식(20년형),"53,665km","1,470만원"
KG모빌리티(쌍용) 뷰티풀 코란도 가솔린 2WD C5 플러스,21년 9월식(22년형),"30,802km","1,690만원"
현대 그랜저 IG 3.0 익스클루시브 스페셜,19년 4월식,"62,970km","1,690만원"
BMW X6 (G06) 디젤 4WD xDrive 30d M 스포츠,21년 1월식,"103,245km","5,920만원"
현대 쏘나타 뉴 라이즈 하이브리드 모던,17년 6월식(18년형),"108,502km","1,390만원"
기아 K5 3세대 가솔린 2.0 시그니처,20년 1월식,"96,652km","2,090만원"
기아 더 뉴 모닝 럭셔리,15년 4월식(16년형),"58,722km",690만원
쉐보레(GM대우) 리얼 뉴 콜로라도 가솔린 4WD 3.6 Z71-X,22년 2월식,"90,546km","2,450만원"
KG모빌리티(쌍용) 더 뉴 티볼리 가솔린 터보 1.5 V7 2WD,23년 9월식(24년형),"52,095km","1,990만원"
제네시스 G70 2.0T 슈프림,18년 10월식,"101,774km","2,120만원"
제네시스 G70 2.0T 스포츠 패키지,17년 12월식(18년형),"63,816km","2,180만원"
기아 K5 하이브리드 500h 노블레스,15년 1월식,"69,124km",970만원
현대 LF 쏘나타 LPI 스마트(장애인용),15년 5월식,"97,157km","1,050만원"
기아 니로 프레스티지,18년 9월식,"119,088km","1,360만원"
현대 엑센트(신형) 1.4 VVT 스마트,16년 12월식(17년형),"67,766km",650만원
볼보 XC40 T4 인스크립션,19년 6월식,"96,747km","2,390만원"
현대 더 뉴 그랜저 하이브리드 가솔린 2.4 하이브리드 프리미엄 초이스,21년 5월식,"134,712km","2,040만원"
현대 더 뉴 팰리세이드 가솔린 3.8 4WD VIP,23년 1월식,"28,421km","3,790만원"
기아 올 뉴 K7 3.0 GDI 리미티드,18년 5월식,"96,002km","1,590만원"
폭스바겐 올 뉴 제타 1.4 가솔린 1.4 프레스티지,20년 11월식,"71,252km","1,650만원"
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
현대 엑센트(신형) 1.4 VVT 프리미어,12년 9월식,"71,527km",510만원
르노코리아(삼성) 뉴SM5 플래티넘 SE S/S 컬렉션,14년 12월식,"49,802km",550만원
쉐보레(GM대우) 더 넥스트 스파크 LTZ,16년 10월식(17년형),"74,314km",540만원
현대 더 뉴 아반떼 AD 1.6 스마트 베스트 초이스 패키지,20년 2월식,"101,121km","1,250만원"
기아 올 뉴 카니발 9인승 노블레스,15년 7월식(16년형),"77,138km","1,230만원"
현대 캐스퍼 가솔린 1.0 디 에센셜,23년 7월식,"14,954km","1,710만원"
기아 K8 가솔린 2.5 시그니처,22년 2월식,"75,557km","2,750만원"
현대 팰리세이드 디젤 2.2 2WD 프레스티지 (7인승),19년 7월식,"124,923km","2,180만원"
현대 더 뉴 싼타페 하이브리드 가솔린 터보 1.6 2WD 캘리그래피,22년 1월식,"49,795km","3,150만원"
제네시스 GV70 가솔린 터보 2.5 AWD,21년 4월식,"66,156km","3,740만원"
기아 모닝 어반 가솔린 1.0 밴 세부등급 없음,21년 3월식,"20,493km",820만원
현대 그랜저 IG 2.4 프리미엄 세부등급 없음,18년 5월식(19년형),"47,319km","1,720만원"
기아 올 뉴 K7 3.0 LPI 프레스티지,17년 2월식,"64,907km","1,590만원"
기아 니로 프레스티지,17년 10월식(18년형),"133,592km","1,280만원"
기아 K5 2세대 2.0 MX 프레스티지,18년 1월식,"95,695km","1,210만원"
현대 그랜저 IG 3.0 LPi 모던 (렌터카용),19년 11월식,"101,644km","1,490만원"
기아 타스만 가솔린 터보 2.5 4WD 익스트림,25년 7월식(26년형),"10,635km","4,090만원"
기아 카니발 (4세대) 가솔린 3.5 (9인승) 프레스티지,22년 12월식(23년형),"41,457km","2,790만원"
제네시스 GV70 가솔린 터보 2.5 AWD,22년 11월식(23년형),"18,750km","4,590만원"
제네시스 G80 3.3 GDI AWD 프리미엄 럭셔리,19년 5월식,"125,646km","1,980만원"
현대 포터2 LPi 2.5 터보 카고 슈퍼캡 초장축 스마트,25년 2월식,"18,054km","1,850만원"
기아 올 뉴 카니발 가솔린 7인승 리무진 프레지던트,15년 10월식(16년형),"60,099km","1,580만원"
기아 더 뉴 기아 레이 EV 전기 에어,24년 3월식,"18,730km","2,220만원"
현대 더 뉴 싼타페 디젤 2.2 2WD 프레스티지,20년 8월식(21년형),"108,420km","2,170만원"
기아 올 뉴 카니발 가솔린 7인승 리무진 프레지던트,16년 3월식,"68,236km","1,620만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식,23년 8월식(24년형),"22,078km","2,840만원"
벤츠 AMG GT 4도어 43 4MATIC+,23년 5월식,"33,849km","8,890만원"
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,23년 1월식,"50,040km","4,230만원"
기아 K5 2세대 2.0 SX 스타일 에디션,17년 6월식(18년형),"54,845km","1,250만원"
기아 카니발 (4세대) 디젤 2.2 (9인승) 노블레스,20년 9월식(21년형),"128,359km","2,460만원"
기아 스포티지 4세대 디젤 2.0 2WD 노블레스 플러스,18년 8월식,"125,690km","1,320만원"
쉐보레(GM대우) 더 뉴 말리부 2.0 터보 LT 스페셜,21년 6월식,"59,414km","1,440만원"
현대 아반떼 AD 1.6 GDI 스마트 스페셜,16년 7월식(17년형),"106,206km",970만원
BMW 5시리즈 (G30) 530i M 스포츠,21년 2월식,"60,869km","4,190만원"
현대 그랜저 HG HG240 모던,15년 5월식,"141,463km",690만원
기아 올 뉴 쏘렌토 디젤 2.0 2WD 노블레스,16년 1월식,"83,594km","1,430만원"
현대 더 뉴 아반떼 1.6 GDi 텐밀리언 리미티드 기본형,15년 7월식(16년형),"95,420km",830만원
기아 디 올 뉴 니로 프레스티지,23년 1월식,"48,557km","2,390만원"
르노코리아(삼성) XM3 가솔린 터보 1.3 RE 시그니쳐,20년 4월식,"71,643km","1,520만원"
르노코리아(삼성) 더 뉴 QM6 가솔린 2WD 2.0 GDe LE,20년 6월식,"62,007km","1,450만원"
르노코리아(삼성) 더 뉴 SM6 가솔린 터보 1.8 프리미에르,22년 7월식,"77,208km","1,870만원"
벤츠 C-클래스 W205 C200 아방가르드,17년 10월식(18년형),"57,230km","1,890만원"
현대 아반떼 (CN7) 가솔린 1.6 인스퍼레이션,20년 6월식(21년형),"94,410km","1,790만원"
기아 K5 2.0 스마트 기본형,11년 1월식,"66,893km",580만원
르노코리아(삼성) SM6 2.0 프라임 SE,18년 12월식(19년형),"90,051km",790만원
기아 올 뉴 모닝 럭셔리,12년 3월식,"75,780km",440만원
기아 더 뉴 모닝 스마트,16년 1월식,"76,720km",550만원
현대 코나 1.6 터보 2WD 프리미엄,18년 10월식,"82,173km","1,520만원"
기아 K3 디럭스,15년 11월식,"102,127km",580만원
포드 익스플로러 6세대 가솔린 4WD 2.3 리미티드,21년 10월식,"90,887km","2,750만원"
KG모빌리티(쌍용) 더 뉴 토레스 가솔린 터보 1.5 2WD T7,24년 8월식(25년형),"50,677km","2,190만원"
기아 K5 3세대 가솔린 터보 1.6 노블레스,21년 6월식,"94,865km","1,980만원"
현대 더 뉴 아반떼 1.6 GDi 텐밀리언 리미티드 기본형,15년 7월식(16년형),"97,285km",870만원
기아 올 뉴 K3 럭셔리,19년 2월식,"112,462km","1,100만원"
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
기아 올 뉴 카니발 7인승 리무진 프레지던트,16년 7월식(17년형),"56,049km","1,590만원"
기아 K5 3세대 가솔린 터보 1.6 노블레스,20년 11월식,"99,739km","1,750만원"
르노코리아(삼성) SM6 2.0 GDe LE,17년 7월식,"64,160km",930만원
쉐보레(GM대우) 더 뉴 트랙스 1.4 LT 코어,19년 1월식,"67,695km",890만원
현대 올 뉴 투싼 TL 디젤 1.6 2WD 프리미엄,19년 2월식,"86,347km","1,690만원"
제네시스 G70 2.0T AWD 엘리트,19년 3월식,"105,207km","2,110만원"
기아 올 뉴 모닝 럭셔리,13년 4월식,"55,658km",650만원
기아 더 뉴 카니발 7인승 리무진 프레지던트,18년 6월식(19년형),"94,277km","1,980만원"
현대 아반떼 AD 1.6 GDI 프리미엄,17년 9월식(18년형),"117,193km","1,230만원"
기아 더 뉴 쏘렌토 디젤 2.0 2WD 마스터,19년 4월식(20년형),"96,282km","1,660만원"
KG모빌리티(쌍용) 티볼리 아머 기어 에디션 2WD,18년 5월식,"15,321km","1,270만원"
벤츠 E-클래스 W213 E300 익스클루시브,17년 3월식,"112,968km","2,230만원"
현대 더 뉴 코나 하이브리드 모던,23년 1월식,"60,258km","2,190만원"
현대 아반떼 (CN7) 가솔린 1.6 인스퍼레이션,21년 5월식,"38,645km","1,890만원"
지프 컴패스 2세대 2.4 론지튜드 AWD,18년 7월식,"74,074km","1,090만원"
기아 더 뉴 K5 2세대 1.6 터보 노블레스,18년 4월식(19년형),"85,031km","1,450만원"
기아 더 K9 3.8 GDI AWD 플래티넘Ⅲ,18년 4월식(19년형),"97,175km","2,400만원"
현대 아반떼 AD 1.6 GDI 밸류 플러스,18년 6월식,"129,203km",950만원
기아 더 뉴 쏘렌토 4세대 디젤 2.2 2WD 노블레스,24년 1월식,"27,368km","3,550만원"
기아 올 뉴 카니발 9인승 프레스티지,16년 4월식,"109,747km","1,180만원"
르노코리아(삼성) SM3 네오 SE 플러스,14년 9월식(15년형),"63,376km",470만원
KG모빌리티(쌍용) 더 뉴 렉스턴 스포츠 칸 디젤 2.2 2WD 익스페디션,22년 7월식,"54,285km","2,590만원"
현대 캐스퍼 가솔린 1.0 디 에센셜,23년 2월식,"11,855km","1,660만원"
현대 쏘나타 DN8 1.6 터보 프리미엄 패밀리,20년 1월식,"117,014km","1,670만원"
쉐보레(GM대우) 스파크 LT 기본형,13년 9월식(14년형),"105,206km",340만원
현대 포터2 CRDi 카고 초장축 더블캡 프리미엄,22년 8월식,"60,788km","1,750만원"
현대 캐스퍼 가솔린 1.0 디 에센셜,23년 4월식,"10,132km","1,630만원"
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
현대 LF 쏘나타 2.0 스타일 스페셜,15년 8월식(16년형),"96,487km",990만원
기아 올 뉴 모닝 디럭스 트렌디,13년 9월식(14년형),"28,459km",590만원
기아 니로 프레스티지,18년 2월식,"118,156km","1,490만원"
아우디 A3 (8Y) 가솔린 2WD 40 TFSI 프리미엄,23년 5월식,"44,149km","2,830만원"
기아 올 뉴 쏘렌토 디젤 2.0 2WD 노블레스 스페셜,15년 6월식,"95,616km","1,410만원"
기아 더 뉴 레이 밴 (2인승) 프레스티지 스폐셜,21년 3월식,"41,914km","1,020만원"
현대 더 뉴 제네시스 쿠페 200 터보 S,13년 10월식(14년형),"77,880km","1,290만원"
현대 그랜저 IG 2.4 프리미엄 세부등급 없음,18년 5월식(19년형),"103,065km","1,510만원"
기아 올 뉴 K3 스탠다드,21년 2월식,"65,686km","1,220만원"
KG모빌리티(쌍용) 토레스 가솔린 1.5 2WD T7,24년 4월식,"52,575km","2,230만원"
KG모빌리티(쌍용) 렉스턴 스포츠 디젤 2.2 4WD 프레스티지 스폐셜,20년 2월식,"64,431km","1,690만원"
제네시스 더 뉴 G70 가솔린 터보 2.5 슈팅브레이크 AWD 스포츠 패키지,23년 7월식(24년형),"45,559km","3,590만원"
기아 더 뉴 K5 2세대 2.0 인텔리전트,19년 2월식,"72,437km","1,430만원"
현대 쏘나타 뉴 라이즈 2.0 모던,19년 2월식,"37,520km","1,580만원"
르노코리아(삼성) 뉴SM3 SE 플러스,14년 3월식,"48,988km",470만원
BMW 6시리즈 GT (G32) 620d M 스포츠,22년 2월식,"71,156km","4,590만원"
기아 더 뉴 쏘렌토 4세대 디젤 2.2 2WD 노블레스,24년 11월식(25년형),"9,338km","3,920만원"
제네시스 G80 (RG3) 가솔린 터보 2.5 2WD,21년 7월식(22년형),"15,981km","3,820만원"
현대 쏘나타 뉴 라이즈 하이브리드 모던,18년 10월식(19년형),"103,289km","1,420만원"
현대 아반떼 MD M16 GDI 프리미어,10년 9월식(11년형),"32,166km",650만원
기아 더 뉴 K7 2.4 GDI 프레스티지,15년 3월식,"90,143km",800만원
르노코리아(삼성) 더 뉴 QM6 가솔린 2WD 2.0 GDe 프리미에르,20년 5월식,"129,547km","1,550만원"
기아 더 뉴 K3 2세대 프레스티지,24년 6월식,"22,288km","1,900만원"
현대 포터2 CRDi 카고 초장축 슈퍼캡 프리미엄,22년 2월식,"97,429km","1,620만원"
BMW 3시리즈 (F30) 320i 럭셔리,16년 3월식,"112,816km","1,340만원"
기아 더 뉴 카니발 가솔린 7인승 리무진 프레지던트,19년 10월식(20년형),"86,620km","1,820만원"
현대 더 뉴 팰리세이드 디젤 2.2 2WD 프레스티지,24년 3월식,"11,354km","4,180만원"
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
현대 아반떼 (CN7) 가솔린 1.6 모던,20년 6월식(21년형),"104,585km","1,590만원"
현대 LF 쏘나타 2.0 스마트 세부등급 없음,16년 12월식(17년형),"104,738km","1,080만원"
기아 더 뉴 쏘렌토 4세대 디젤 2.2 2WD 시그니처,24년 11월식(25년형),"39,530km","3,460만원"
현대 아반떼 (CN7) 가솔린 1.6 모던,21년 6월식,"7,241km","2,030만원"
현대 아반떼 (CN7) 가솔린 1.6 모던,22년 2월식,"10,866km","1,860만원"
기아 더 뉴 카니발 9인승 프레스티지,19년 11월식,"106,468km","1,570만원"
현대 더 뉴 그랜저 가솔린 2.5 익스클루시브,21년 12월식(22년형),"38,853km","2,680만원"
쉐보레(GM대우) 크루즈 1.8 LTZ+,13년 6월식(14년형),"108,897km",390만원
KG모빌리티(쌍용) 티볼리 아머 기어 Ⅱ 2WD 드라이빙 기어,18년 8월식,"99,062km","1,030만원"
포드 익스플로러 6세대 가솔린 4WD 2.3 리미티드,21년 1월식,"64,197km","2,940만원"
쉐보레(GM대우) 임팔라 2.5 LTZ,16년 3월식,"67,211km",970만원
기아 더 뉴 K5 2세대 2.0 노블레스,19년 4월식(20년형),"128,605km","1,250만원"
기아 K3 럭셔리,14년 3월식,"88,537km",670만원
기아 카니발 (4세대) 가솔린 3.5 (9인승) 노블레스,23년 7월식,"41,269km","2,720만원"
현대 그랜저 IG 2.4 모던,18년 11월식(19년형),"70,795km","1,430만원"
제네시스 GV70 가솔린 터보 2.5 AWD,23년 4월식,"19,113km","4,790만원"
링컨 노틸러스 2세대 가솔린 4WD 2.0 리저브,24년 3월식,"30,752km","5,400만원"
현대 아반떼 (CN7) 가솔린 1.6 인스퍼레이션,20년 5월식(21년형),"63,298km","1,820만원"
현대 코나 (SX2) 가솔린 1.6 2WD 프리미엄,23년 4월식,"47,622km","2,290만원"
르노코리아(삼성) QM6 디젤 2WD RE 시그니처,18년 2월식,"109,319km","1,190만원"
기아 스포티지 4세대 디젤 2.0 2WD 노블레스 세부등급 없음,16년 10월식,"69,696km","1,390만원"
기아 K3 트렌디,14년 5월식,"119,848km",680만원
현대 아반떼 AD 1.6 GDI 스마트 스페셜,15년 10월식(16년형),"81,961km","1,120만원"
볼보 S60 3세대 가솔린 2WD B5 얼티메이트 브라이트,24년 4월식,"18,089km","4,150만원"
현대 올 뉴 투싼 TL 디젤 2.0 2WD 프리미엄,19년 2월식,"155,809km","1,490만원"
기아 더 뉴 기아 레이 시그니처,22년 10월식(23년형),"19,858km","1,590만원"
현대 엑센트(신형) 1.4 VVT 스마트,15년 8월식(16년형),"71,503km",630만원
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
현대 LF 쏘나타 2.0 스마트 스페셜,16년 10월식(17년형),"81,022km","1,190만원"
기아 K5 3세대 하이브리드 시그니처,20년 3월식,"97,205km","2,040만원"
현대 팰리세이드 디젤 2.2 2WD 캘리그래피 (7인승),21년 9월식(22년형),"65,170km","3,150만원"
현대 캐스퍼 가솔린 1.0 터보 밴 스마트 초이스,24년 3월식,"4,917km","1,670만원"
벤츠 A-클래스 W176 A200,17년 11월식(18년형),"81,008km","1,340만원"
BMW 6시리즈 GT (G32) 630i xDrive 럭셔리,20년 2월식,"68,784km","4,140만원"
